question,option_a,option_b,option_c,option_d,correct_answer,question_type,year,page
"12. In the human eye, only the ____ contains photoreceptors (rods and cones) for light energy.",cornea,iris,lens,retina,D,multiple_choice,2000,368
13. Plant ____ are chemical messengers that control plant responses to environmental stimuli like light and gravity.,enzymes,hormones,chlorophylls,pigments,B,multiple_choice,2000,369
14. A parachute can be used by a spaceman to help in landing on the Moon.,Correct,Incorrect,,,B,true_false,2000,369
"15. In the human circulatory system, the pulmonary artery carries deoxygenated blood from the:",Left ventricle to the body,Right ventricle to the lungs,Left atrium to the left ventricle,Lungs to the left atrium,B,multiple_choice,2000,370
16. ____ is the smallest planet of the solar system.,Venus,Mars,Mercury,Earth,C,multiple_choice,2000,370
17. Tides happen due to the Moon's gravitational pull.,Correct,Incorrect,,,A,true_false,2000,370
18. Anaphase is the stage of mitosis during which the daughter chromosomes move towards the poles.,Correct,Incorrect,,,A,true_false,2000,371
"19. Which organelle is known as the ""powerhouse of the cell"" because it generates most of the cell's supply of ATP?",Nucleus,Ribosome,Mitochondria,Golgi apparatus,C,multiple_choice,2000,371
"20. Underground horizontal stems, such as those of ginger, are called ____.",rhizomes,tubers,bulbs,taproots,A,multiple_choice,2000,371
21. Diamond is an allotropic form of the element ____.,silicon,phosphorus,carbon,sulfur,C,multiple_choice,2000,372
"22. In a chemical battery, chemical energy is directly converted into mechanical energy.",Correct,Incorrect,,,B,true_false,2000,372
"23. A chemical battery, such as a dry cell, is a device that converts:",Chemical energy into electrical energy,Mechanical energy into electrical energy,Electrical energy into chemical energy,Heat energy into mechanical energy,A,multiple_choice,2000,372
24. The rate at which an alternating current (AC) changes its direction is known as its:,Voltage,Amplitude,Resistance,Frequency,D,multiple_choice,2000,373
25. ____ are often called the powerhouses of the cell because they generate most of the cell's supply of AT,Ribosomes,The Nucleus,Mitochondria,Lysosomes,C,multiple_choice,2000,373
26. Heavy water (D2O) is different from ordinary water (H2O) because it contains:,Dissolved mineral salts,An isotope of oxygen,An isotope of hydrogen (deuterium),Extra chlorine atoms,C,multiple_choice,2000,374
27. An eggshell is composed of:,iron,starch,carbon,None of these,D,multiple_choice,2000,374
"28. In the circulatory system, two pulmonary arteries take blood from the left ventricle to the lungs.",Correct,Incorrect,,,B,true_false,2000,374
"essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays 29. The cochlea, a spiral-shaped cavity essential for the sense of hearing, is located in the:",Outer ear,Middle ear,Inner ear,Auditory cortex,C,multiple_choice,2000,375
30. Polio is an infectious disease caused by a:,Bacterium,Virus,Fungus,Vitamin deficiency,B,multiple_choice,2000,377
31. Which of the following is another name for Vitamin C?,Citric acid,Tartaric acid,Ascorbic acid,Acetic acid,C,multiple_choice,2000,377
32. The speed of the wind is measured by an instrument called an:,Hygrometer,Barometer,Perimeter,Anemometer,D,multiple_choice,2000,378
33. ____ is a vitamin.,Citric acid,Tartaric acid,Ascorbic acid,Acetic acid,C,multiple_choice,2000,378
34. Gigantism is a condition of abnormal growth caused by the excessive secretion of growth hormone from the pituitary gland. This condition is known as:,Hypothyroidism,Recessive gene disorder,Hyperpituitarism,Vitamin D deficiency,C,multiple_choice,2000,378
35. Gigantism is the result of:,hypothyroidism,a recessive gene,hyperpituitarism,vitamin D deficiency,C,multiple_choice,2000,379
36. The main combustible component of Biogas is:,Methane,Hydrogen,Oxygen,Carbon dioxide,A,multiple_choice,2000,379
37. The coldest planet of the solar system is:,Earth,Venus,Neptune,Mars,C,multiple_choice,2000,380
38. Heavy water contains salts of calcium and magnesium.,Correct,Incorrect,,,B,true_false,2000,380
39. An eggshell is primarily composed of:,Protein,Starch,Calcium Carbonate,Iron Oxide,C,multiple_choice,2000,380
40. All non-metals exist in a gaseous state.,Correct,Incorrect,,,B,true_false,2000,381
41. Which of the following is considered the coldest planet in our solar system?,Earth,Venus,Mars,Neptune,D,multiple_choice,2000,381
42. The most abundant element found in the Earth's crust is:,Silicon,Nitrogen,Carbon,Oxygen,D,multiple_choice,2000,381
43. The cochlea is a part of the middle ear.,Correct,Incorrect,,,B,true_false,2000,382
44. What type of connective tissue connects muscle to bone?,Cartilage,Ligament,Tendon,Disc,C,multiple_choice,2000,382
Venus is the smallest planet in the solar system.,Correct,Incorrect,,,B,true_false,1999,383
A barometer is used for measuring current.,Correct,Incorrect,,,B,true_false,1999,383
Blood cells are of ____ major types.,two,three,four,five,B,multiple_choice,1999,383
Plant cells manufacture their food due to the presence of ____.,chlorophyll,vacuole,cell wall,ribosomes,A,multiple_choice,1999,383
____ from the sun are primarily responsible for causing sunburn and suntan.,Ultraviolet rays,Alpha particles,Gamma radiation,Infrared rays,A,multiple_choice,1999,384
Xylem and phloem are conducting tissues.,Correct,Incorrect,,,A,true_false,1999,384
The image of an object is formed on the retina of the eye.,Correct,Incorrect,,,A,true_false,1999,384
Plasma is the fluid part of the blood in which the cells are suspended.,Correct,Incorrect,,,A,true_false,1999,385
Helium is the lightest gas.,Correct,Incorrect,,,B,true_false,1999,385
10. The mitochondria in a cell are organelles found within the ____.,nucleus,cytoplasm,,,B,true_false,1999,385
11. Hemoglobin combines with oxygen and transports it to different cells of the body.,Correct,Incorrect,,,A,true_false,1999,386
12. A neutron is a negatively charged particle in an atom.,Correct,Incorrect,,,B,true_false,1999,386
13. Enzymes are responsible for the chemical digestion of food.,Correct,Incorrect,,,A,true_false,1999,386
14. Carbohydrates are the cheapest and most ready source of energy.,Correct,Incorrect,,,A,true_false,1999,386
15. Mitosis is a type of cell division wherein the number of chromosomes in the daughter cells remains the ____.,same,half,double,one-quarter,A,multiple_choice,1999,387
An equinox is a time of the year when the sun is vertically overhead at the:,Tropic of Cancer,Tropic of Capricorn,Equator,Prime Meridian,C,multiple_choice,1998,388
Joseph Aspdin is the inventor of cement.,Correct,Incorrect,,,A,true_false,1998,388
The primary function of a carburettor in a traditional gasoline engine is to:,Cool the engine,Mix fuel and air in the proper ratio,Transmit power to the wheels,Charge the battery,B,multiple_choice,1998,388
Hepatitis is an inflammation of the membranes surrounding the brain.,Correct,Incorrect,,,B,true_false,1998,389
The equinox is the time when the Sun appears vertically overhead at noon at the equator.,Correct,Incorrect,,,A,true_false,1998,389
"A plant that grows on another plant for physical support, but not for nutrients, is called an:",Epiphyte,Parasite,Saprophyte,Halophyte,A,multiple_choice,1998,389
Biochemistry is the application of statistics in the study of biology.,Correct,Incorrect,,,B,true_false,1998,390
"The ""Brain"" virus, widely considered the first personal computer virus, was created by two brothers from:",India,United States,Pakistan,Russia,C,multiple_choice,1998,390
Meningitis is the inflammation of the liver.,Correct,Incorrect,,,B,true_false,1998,390
10. An epiphyte is a plant that grows upon another plant.,Correct,Incorrect,,,A,true_false,1998,390
11. Isotopes of a chemical element possess the same number of protons but a different number of:,Electrons,Neutrons,Quarks,Positrons,B,multiple_choice,1998,391
"12. The ""lead"" in a modern pencil is a mixture of:",Lead and Tin,Graphite and Clay,Charcoal and Wax,Zinc and Carbon,B,multiple_choice,1998,391
"13. Jaundice is a condition where the skin turns yellow, typically due to the inflammation of which organ?",Kidney,Spleen,Pancreas,Liver,D,multiple_choice,1998,392
"14. A material whose electrical conductivity can be controlled and modified, lying between that of a conductor and an insulator, is called a:",Resistor,Conductor,Thermistor,Semiconductor,D,multiple_choice,1998,392
15. Which of the following is a primary role of Phosphorus (P) in plant development?,Promoting leafy green growth,Aiding in root development and energy transfer,Regulating water absorption,Increasing disease resistance,B,multiple_choice,1998,392
16. Neurology is the science of the nervous system.,Correct,Incorrect,,,A,true_false,1998,393
17. Scientists primarily study the Earth's internal structure by analyzing:,The composition of volcanic magma,The patterns of seismic waves from earthquakes,The planet's magnetic field,Rock samples from deep-sea drilling,B,multiple_choice,1998,393
18. A trout is a sea fish.,Correct,Incorrect,,,B,true_false,1998,393
19. The branch of medicine concerned with the diagnosis and treatment of disorders of the nervous system is:,Endocrinology,Hepatology,Neurology,"Cardiology essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",C,multiple_choice,1998,394
20. The source of the sun's vast energy output is the process of:,Nuclear fission,Nuclear fusion,Chemical combustion,Radioactive decay,B,multiple_choice,1998,396
"21. A goiter, characterized by the swelling of the thyroid gland, is most commonly caused by a dietary deficiency of:",Iron,Iodine,Calcium,Vitamin C,B,multiple_choice,1998,396
22. Aviculture is the science of the rearing of animals.,Correct,Incorrect,,,B,true_false,1998,396
23. The scientific study of heredity and the variation of inherited characteristics is known as:,Cytology,Genetics,Ecology,Physiology,B,multiple_choice,1998,397
24. The hertz (Hz) is the standard international (SI) unit used to measure:,Force,Energy,Power,Frequency,D,multiple_choice,1998,397
"26. In immunology, the primary function of an antibody is to:",Engulf and digest pathogens,Identify and neutralize foreign objects like bacteria and viruses,Carry oxygen to the tissues,Regulate the production of white blood cells,B,multiple_choice,1998,398
27. A drought is a long period of rain.,Correct,Incorrect,,,B,true_false,1998,398
"28. The filament of a modern incandescent light bulb is made from which metal, known for its very high melting point?",Copper,Aluminum,Tungsten,Silver,C,multiple_choice,1998,398
"29. The process by which plants use sunlight, water, and carbon dioxide to create glucose for energy is known as:",Respiration,Transpiration,Photosynthesis,Germination,C,multiple_choice,1998,399
"30. A hypothetical region of spacetime with a gravitational pull so strong that nothing, not even light, can escape is called a:",Nebula,Supernova,Black Hole,Pulsar,C,multiple_choice,1998,399
"Nuclear fusion, the process that powers stars, is the:",Splitting of a heavy nucleus,Combining of light nuclei,Spontaneous decay of a nucleus,Emission of an electron from a nucleus,B,multiple_choice,1997,400
Plastics that can be repeatedly softened by heating and hardened by cooling are known as:,Thermosetting plastics,Thermoplastics,Elastomers,Polymers,B,multiple_choice,1997,400
The component of the Central Processing Unit (CPU) that performs arithmetic and logical operations is the:,Control Unit (CU),Register,Memory Unit,Arithmetic Logic Unit (ALU),D,multiple_choice,1997,400
Modern incandescent bulbs contain filaments made of copper.,Correct,Incorrect,,,B,true_false,1997,401
Light with a wavelength longer than that of red light is known as:,Ultraviolet,X-ray,Infrared,Gamma ray,C,multiple_choice,1997,401
Dry ice is the solid state of which compound?,Nitrogen,Methane,Carbon Dioxide,Water,C,multiple_choice,1997,401
The large amount of oxygen carried by human blood is due to the presence of which chemical?,Myoglobin,Fibrinogen,Hemoglobin,Albumin,C,multiple_choice,1997,402
Nuclear energy is a cheap source of abundant electricity.,Correct,Incorrect,,,B,true_false,1997,402
A steam engine cannot be powered by fossil fuels.,Correct,Incorrect,,,B,true_false,1997,402
10. The branch of zoology that is dedicated to the study of insects is:,Ornithology,Herpetology,Ichthyology,Entomology,D,multiple_choice,1997,403
11. Which of the following is considered a non-renewable energy resource?,Solar Power,Geothermal Energy,Natural Gas,Wind Power,C,multiple_choice,1997,403
12. Generators convert mechanical energy into electricity.,Correct,Incorrect,,,A,true_false,1997,403
13. The movement of a solvent (like water) across a semipermeable membrane from a region of lower solute concentration to higher solute concentration is called:,Diffusion,Transpiration,Osmosis,Glycolysis,C,multiple_choice,1997,404
14. The smallest arteries branch into even smaller vessels called:,Veins,Venules,Capillaries,Aorta,C,multiple_choice,1997,404
15. Sound is a form of energy.,Correct,Incorrect,,,A,true_false,1997,404
"16. Biological catalysts, which are typically proteins that speed up biochemical reactions, are called:",Hormones,Enzymes,Substrates,Zymogens,B,multiple_choice,1997,405
17. The Anvil (Incus) and Stirrup (Stapes) are tiny bones located in the:,Wrist,Ankle,Middle Ear,Vertebral column,C,multiple_choice,1997,405
"18. Which layer of the Earth's atmosphere contains the ozone layer, crucial for absorbing ultraviolet radiation?",Troposphere,Stratosphere,Mesosphere,Thermosphere,B,multiple_choice,1997,406
"19. In computing, what is the fundamental difference between RAM and ROM?","RAM is volatile, ROM is non-volatile","RAM is non-volatile, ROM is volatile","RAM stores the operating system, ROM does not",ROM is faster than RAM,A,multiple_choice,1997,406
20. A fraction of sunlight is refracted as it enters the Earth's atmosphere.,Correct,Incorrect,,,A,true_false,1997,406
21. Rainbows are produced by the reflection of light through raindrops.,Correct,Incorrect,,,B,true_false,1997,407
"22. The tough, transparent membrane covering the front of the eye is the:",Retina,Sclera,Cornea,Iris,C,multiple_choice,1997,407
23. The chemical process of making soap by the alkaline hydrolysis of fats and oils is known as:,Esterification,Saponification,Emulsification,Fermentation,B,multiple_choice,1997,407
24. The Medulla Oblongata is a part of the brainstem that connects the higher levels of the brain to the:,Cerebellum,Spinal cord,Pons,Thalamus,B,multiple_choice,1997,408
25. The standard international (SI) unit for electric potential difference is the:,Watt,Coulomb,Ohm,Volt,D,multiple_choice,1997,408
26. Light switches in our homes are connected in a parallel series.,Correct,Incorrect,,,B,true_false,1997,408
27. A solar eclipse occurs when:,The Earth comes between the Sun and Moon,The Sun comes between the Earth and Moon,The Moon comes between the Sun and Earth,The Earth's shadow falls on the Sun,C,multiple_choice,1997,409
28. The sheet of muscle that separates the thoracic cavity from the abdominal cavity is the:,Diaphragm,Pleura,Peritoneum,Intercostal,A,multiple_choice,1997,409
29. The energy possessed by a waterfall is kinetic energy.,Correct,Incorrect,,,A,true_false,1997,409
"The famous Muslim botanist and pharmacist, Ibn al-Baitar, lived and worked primarily during the:",9th Century A.D.,11th Century A.D.,13th Century A.D.,15th Century A.D.,C,multiple_choice,1996,411
"Of the following colors of visible light, which has the shortest wavelength?",Red,Yellow,Green,Blue,D,multiple_choice,1996,411
A machine helps us do more work with less force.,Correct,Incorrect,,,A,true_false,1996,411
"Abul Qasim Al-Zahrawi, a leading scholar of the Islamic Golden Age, is widely regarded as the father of modern:",Algebra,Surgery,Philosophy,Astronomy,B,multiple_choice,1996,412
"Observations of distant galaxies, such as redshift, provide strong evidence that the universe is:",Expanding,Contracting,Static,Shrinking,A,multiple_choice,1996,412
"Ideally, water can be used as a car fuel after electrolysis.",Correct,Incorrect,,,A,true_false,1996,412
Sound can travel through a vacuum.,Correct,Incorrect,,,B,true_false,1996,413
The prestigious Nobel Prize is not awarded for which of the following disciplines?,Physics,Chemistry,Economics,Mathematics,D,multiple_choice,1996,413
"The speed of light is nearly 300,000 km/sec.",Correct,Incorrect,,,A,true_false,1996,413
"10. The influential ""Kitab al-Manazir"" (Book of Optics) was authored by which Muslim scientist?",Jabir ibn Hayyan,Ibn al-Haytham,Al-Zahrawi,"Ibn al-Baitar essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",B,multiple_choice,1996,414
11. The process of splitting water into hydrogen and oxygen using an electric current is known as:,Hydrolysis,Pyrolysis,Catalysis,Electrolysis,D,multiple_choice,1996,416
12. We can receive TV sound signals on our FM radio sets.,Correct,Incorrect,,,A,true_false,1996,416
13. Light achieves its maximum velocity when travelling through a:,Liquid,Solid,Gas,Vacuum,D,multiple_choice,1996,416
14. Haemophilia is a condition that impairs the body's ability to control blood clotting and is primarily caused by:,A bacterial infection,A viral infection,Vitamin K deficiency,A genetic disorder,D,multiple_choice,1996,417
15. The two planets in our solar system with the largest number of confirmed moons are:,Mars and Earth,Jupiter and Saturn,Venus and Mercury,Uranus and Mars,B,multiple_choice,1996,417
"16. A simple machine, like a lever or pulley, assists in doing work by:",Reducing the total amount of work done,Creating new energy,Decreasing the required input force,Eliminating friction completely,C,multiple_choice,1996,417
17. The great Muslim polymath Al-Biruni died in the year:,848 A.D.,948 A.D.,1048 A.D.,1148 A.D.,C,multiple_choice,1996,418
18. The human eye exhibits its highest sensitivity to which portion of the visible light spectrum?,Red-Orange,Yellow-Green,Blue-Violet,Indigo,B,multiple_choice,1996,418
19. Which statement about television and FM radio signals is correct?,They use the same frequencies.,TV sound can be played on an FM radio.,They operate in different frequency bands.,FM radio signals travel further than TV signals.,C,multiple_choice,1996,419
20. Which metal possesses the highest electrical conductivity?,Copper,Gold,Silver,Aluminum,C,multiple_choice,1996,419
21. Which of the following requires a medium for its propagation and cannot travel through a vacuum?,Light waves,Radio waves,Sound waves,X-rays,C,multiple_choice,1996,419
22. The speed of light in a vacuum is approximately:,"300,000 m/s","300,000 km/h","300,000 km/s","30,000 km/s",C,multiple_choice,1996,420
"23. The use of ceramic components in engines is advantageous because it allows for higher operating temperatures, leading to greater:",Fuel weight,Engine noise,Efficiency,Corrosion,C,multiple_choice,1996,420
24. Abu al-Qasim Khalaf ibn al-Abbas al-Zahrawi was a famous Muslim mathematician.,Correct,Incorrect,,,B,true_false,1996,420
25. A ceramic engine would have greater efficiency.,Correct,Incorrect,,,A,true_false,1996,421
26. Abu Ali Sina (Avicenna) is most famous for his monumental contributions to the field of:,Mathematics,Botany,Optics,Medicine,D,multiple_choice,1996,421
27. Jabir ibn Hayyan was the author of the book Kitab al-Manazir.,Correct,Incorrect,,,B,true_false,1996,421
28. The famous Muslim botanist Ibn al-Baitar lived during the period 700-790 A.D.,Correct,Incorrect,,,B,true_false,1996,422
29. Our eye is very sensitive to blue light.,Correct,Incorrect,,,B,true_false,2001,422
30. Which of the following is a common synthetic polymer often used in packaging and manufacturing?,Glucose,Starch,Protein,Polyethylene,D,multiple_choice,1996,422
"Thyroxine, a hormone that regulates metabolism, is secreted by the:",Pancreas,Adrenal gland,Thyroid gland,Pituitary gland,C,multiple_choice,1995,423
Cryptogams are non-flowering plants.,Correct,Incorrect,,,A,true_false,1995,423
The outermost solid layer of the Earth is called the:,Mantle,Outer Core,Crust,Inner Core,C,multiple_choice,1995,423
The primary cause of acid rain is the atmospheric emission of:,Carbon dioxide and methane,Sulfur oxides and and nitrogen oxides,Chlorofluorocarbons (CFCs),Particulate matter,B,multiple_choice,1995,424
The common and versatile plastic material PVC is an abbreviation for:,Photo-Voltaic Cell,Polyvinyl Chloride,Pressurized Vector Component,Poly-Vinyl Carbonate,B,multiple_choice,1995,424
The excessive burning of fossil fuels causes acid rain.,Correct,Incorrect,,,A,true_false,1995,424
The radioactive element Radium was discovered by the pioneering scientist:,Albert Einstein,Enrico Fermi,Niels Bohr,Marie Curie,D,multiple_choice,1995,425
"In botanical classification, plants that do not produce flowers or seeds, such as ferns and mosses, are known as:",Phanerogams,Angiosperms,Gymnosperms,Cryptogams,D,multiple_choice,1995,425
The twenty-first of June is the longest day of the year in the Northern Hemisphere.,Correct,Incorrect,,,A,true_false,1995,425
10. The abbreviation LASER stands for Light Amplification by Stimulated Emission of:,Radiation,Resonance,Refraction,Relativity,A,multiple_choice,1995,426
11. The disease AIDS is caused by the:,Human Papillomavirus (HPV),Human Immunodeficiency Virus (HIV),Influenza Virus,Epstein-Barr Virus,B,multiple_choice,1995,426
12. The newton (N) is the standard international (SI) unit of:,Work,Power,Force,Energy,C,multiple_choice,1995,426
13. Spinach is a good source of vitamin K.,Correct,Incorrect,,,A,true_false,1995,427
"14. The process of heating a liquid, such as milk, to a specific temperature for a predefined time to kill pathogens is called:",Fermentation,Distillation,Pasteurization,Immunization,C,multiple_choice,1995,427
"15. The primary carbohydrate storage form in plants is starch, whereas in animals it is:",Cellulose,Glycogen,Sucrose,Glucose,B,multiple_choice,1995,427
16. The Moon has no atmosphere.,Correct,Incorrect,,,A,true_false,1995,428
"17. The Femur, the longest bone in the human skeleton, is located in the:",Upper arm,Forearm,Thigh,Shin,C,multiple_choice,1995,428
18. What does the abbreviation ATP stand for in a biological context?,Adenine Thymine Pair,Adenosine Triphosphate,Acidic Thermal Product,Active Transport Protein,B,multiple_choice,1995,428
19. The largest planet in our solar system is:,Saturn,Earth,Jupiter,Neptune,C,multiple_choice,1995,429
20. The mineral Quartz is a crystalline form of:,Calcium Carbonate,Aluminum Oxide,Sodium Chloride,Silicon Dioxide,D,multiple_choice,1995,429
21. Electricity is a secondary source of energy.,Correct,Incorrect,,,A,true_false,1995,430
22. Insulin is a hormone secreted by the spleen.,Correct,Incorrect,,,B,true_false,1995,430
"23. Insulin, a crucial hormone for regulating blood glucose, is secreted by which gland?",Thyroid,Pituitary,Adrenal,Pancreas,D,multiple_choice,1995,430
24. Streptococcus is a Gram-negative bacterium.,Correct,Incorrect,,,B,true_false,1995,430
"25. The summer solstice, the day with the longest period of daylight in the Northern Hemisphere, occurs on or around:",On March 2021,On June 2021,On September 2023,On December 2021,B,multiple_choice,1995,431
26. The femur is a bone of the forearm.,Correct,Incorrect,,,B,true_false,1995,431
27. The Richter scale is used to measure the magnitude of:,Earthquakes,Volcanic Eruptions,Tornadoes,Tsunamis,A,multiple_choice,1995,431
28. A light-year is a unit used in astronomy to measure:,Time,Velocity,Distance,Luminosity,C,multiple_choice,1995,432
29. Reserve food material is usually stored as glycogen in plants.,Correct,Incorrect,,,B,true_false,1995,432
30. The set of metabolic pathways that breaks down molecules into smaller units to release energy is known as:,Anabolism,Catabolism,Homeostasis,"Synthesis essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",B,multiple_choice,1995,432
Chromite ore contains chromium oxide.,Correct,Incorrect,,,A,true_false,1994,435
The Earth completes one rotation about its axis in 365.25 days.,Correct,Incorrect,,,B,true_false,1994,435
"Adrenaline, the ""fight-or-flight"" hormone, is secreted by the:",Thyroid gland,Pituitary gland,Adrenal gland,Pancreas,C,multiple_choice,1994,435
The common abbreviation CFC refers to:,Carbon Fiber Composite,Chlorinated Fluorine Compound,Chlorofluorocarbon,Cellular Fluid Connector,C,multiple_choice,1994,435
Bacteria are parasites.,Correct,Incorrect,,,B,true_false,1994,436
The Sun is the biggest star in the universe.,Correct,Incorrect,,,B,true_false,1994,436
The primary organ in the human body responsible for regulating water and salt balance is the:,Liver,Pancreas,Spleen,Kidney,D,multiple_choice,1994,436
Mica is widely used in electrical appliances and electronics due to its property as an excellent:,Conductor,Semiconductor,Insulator,Superconductor,C,multiple_choice,1994,437
Ruby is an oxide of aluminum.,Correct,Incorrect,,,A,true_false,1994,437
"10. From a biological standpoint, which statement most accurately describes bacteria?",They are all parasitic.,They are all autotrophic.,They exhibit diverse metabolic strategies.,They are a type of virus.,C,multiple_choice,1994,437
"11. The ""Kitab al-Manazir"" (Book of Optics), a foundational text in the history of science, was written by:",Ibn Sina,Al-Khwarizmi,Ibn al-Haytham,Jabir ibn Hayyan,C,multiple_choice,1994,438
"12. The direct conversion of a solid to a gas, bypassing the liquid state, is known as:",Evaporation,Condensation,Sublimation,Deposition,C,multiple_choice,1994,438
13. Gypsum is chemically hydrated calcium carbonate.,Correct,Incorrect,,,B,true_false,1994,439
14. Mica is a non-conductor of electricity.,Correct,Incorrect,,,A,true_false,2001,439
"15. The Earth's movement of completing one turn on its axis is called rotation, and it takes approximately:",365.25 days,29.5 days,24 hours,12 months,C,multiple_choice,1994,439
16. The precious gemstone Ruby is a crystalline form of:,Silicon Carbide,Boron Nitride,Aluminum Oxide,Calcium Carbonate,C,multiple_choice,1994,440
17. An alloy is best defined as a:,Pure non-metal,Substance formed by chemical bonding,Mixture containing at least one metal,Liquid solution of salts,C,multiple_choice,1994,440
18. Pluto is the coldest planet.,Correct,Incorrect,,,B,true_false,1994,440
"19. Proteins, which are essential for life, are polymers made from smaller units called:",Glucose molecules,Fatty acids,Amino acids,Nucleotides,C,multiple_choice,1994,440
20. Twenty-three moons revolve around Saturn.,Correct,Incorrect,,,B,true_false,1994,441
21. Which of the following diseases is caused by a bacterium?,Polio,Diphtheria,AIDS,Measles,B,multiple_choice,1994,441
"22. The control center of a typical animal cell, containing its genetic material, is the:",Mitochondrion,Golgi apparatus,Ribosome,Nucleus,D,multiple_choice,1994,442
"23. In the human circulatory system, which vessels are primarily responsible for carrying blood away from the heart?",Veins,Capillaries,Arteries,Lymphatic ducts,C,multiple_choice,1994,442
"24. Bones are primarily composed of a protein matrix hardened by minerals, mainly Calcium and:",Iron,Phosphorus,,,B,true_false,1994,442
"25. The scientific study of cells, their structure, and function is called:",Geology,Morphology,Cytology,Haematology,C,multiple_choice,1994,443
"26. In physics, the ability or capacity to do work is defined as:",Power,Energy,Force,Pressure,B,multiple_choice,1994,443
"27. In the Australian continent, days are longer than nights in June.",Correct,Incorrect,,,B,true_false,1994,443
"28. In July 1994, the fragmented comet Shoemaker-Levy 9 famously collided with which planet?",Mars,Saturn,Jupiter,Uranus,C,multiple_choice,1994,444
29. The edible part of a potato plant is a modified stem known as a:,Tuber,Root,Rhizome,Bulb,A,multiple_choice,1994,444
30. The phenomenon of a lunar eclipse occurs when:,The Sun passes between the Earth and Moon.,The Moon passes between the Sun and Earth.,The Earth passes between the Sun and Moon.,A comet obscures the view of the Moon.,C,multiple_choice,1994,444
The primary cause of ozone layer depletion in the stratosphere is the presence of:,Methane,Carbon Dioxide,Chlorofluorocarbons (CFCs),Carbon Monoxide,C,multiple_choice,1993,446
The revolutionary antibiotic Penicillin was discovered by:,Louis Pasteur,Alexander Fleming,Edward Jenner,Robert Hooke,B,multiple_choice,1993,446
The process of cell division that produces two genetically identical daughter cells is:,Meiosis,Mitosis,Fission,Budding,B,multiple_choice,1993,446
Which of the following is an example of a natural polymer?,Polythene,Nylon,PVC,Cellulose,D,multiple_choice,1993,447
Haemophilia is a genetic disorder characterized by impaired:,Oxygen transport,Insulin production,Blood clotting,Immune response,C,multiple_choice,1993,447
The normal range of frequency for human hearing is:,"10 - 10,000 Hz","20 - 20,000 Hz","25 - 25,000 Hz","30 - 30,000 Hz",B,multiple_choice,1993,447
"Chemically, the mineral Quartz is a form of:",Calcium Carbonate,Silicon Dioxide,Aluminum Silicate,Sodium Chloride,B,multiple_choice,1993,448
The common refrigerant 'Freon' belongs to which class of chemical compounds?,Hydrocarbons,Alcohols,Chlorofluorocarbons,Ethers,C,multiple_choice,1993,448
"Vitamins A, D, E, and K are classified as:",Water-soluble vitamins,Fat-soluble vitamins,Mineral complexes,Amino acids,B,multiple_choice,1993,448
10. A deficiency of Vitamin B1 (Thiamine) leads to which condition?,Scurvy,Rickets,Beriberi,Night blindness,C,multiple_choice,1993,449
"11. Urea, a widely used fertilizer, is a primary source of which element for plants?",Phosphorus,Potassium,Nitrogen,Sulphur,C,multiple_choice,1993,449
"12. An immediate, involuntary response to a stimulus, controlled by the spinal cord, is a:",Reflex action,Conscious action,Hormonal response,Metabolic reaction,A,multiple_choice,1993,450
"13. Ibn Baitar was a leading scientist of the Islamic Golden Age, renowned for his work as a:",Physicist,Astronomer,Botanist,Mathematician,C,multiple_choice,1993,450
14. A substance that increases the rate of a chemical reaction without being consumed itself is called a:,Reagent,Catalyst,Product,Solvent,B,multiple_choice,1993,450
15. A solar eclipse occurs during which phase of the moon?,Full Moon,New Moon,First Quarter,Third Quarter,B,multiple_choice,1993,451
"16. An organism that consists of a single cell, such as an Amoeba, is called:",Multicellular,A-cellular,Unicellular,A-gamete,C,multiple_choice,1993,451
17. Leprosy is a chronic infectious disease that primarily affects the:,Respiratory tract,Cardiovascular system,Digestive system,Peripheral nervous system,D,multiple_choice,1993,451
18. The process in the Nitrogen Cycle where bacteria convert atmospheric nitrogen into ammonia is known as:,Denitrification,Nitrification,Nitrogen Fixation,Ammonification,C,multiple_choice,1993,452
19. The sum of all biochemical processes in an organism is termed:,Homeostasis,Catabolism,Anabolism,Metabolism,D,multiple_choice,1993,452
20. The trapping of heat within Earth's atmosphere by gases like carbon dioxide is called the:,Coriolis effect,Albedo effect,Greenhouse effect,"Photoelectric effect essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",C,multiple_choice,1993,453
"According to the Law of Floatation (Archimedes' Principle), a body immersed in a fluid is buoyed up by a force equal to the:",Weight of the body,Volume of the fluid displaced,Weight of the fluid displaced,Density of the body,C,multiple_choice,1992,455
