
🚀 ENGINEERING MASTER ENGINE (FIXED V3) ACTIVATED
    ✓ Batch [ECAT]: 14 saved (Total: 250)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 263)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 278)
    ✓ Batch [NET]: 15 saved (Total: 293)
    ✓ Batch [ECAT]: 12 saved (Total: 305)

▶ STARTING: Chemistry -> Atomic Structure (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 57)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 73)
    ✓ Batch [NET]: 13 saved (Total: 86)
    ✓ Batch [ECAT]: 16 saved (Total: 102)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 112)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 120)
    ✓ Batch [NET]: 9 saved (Total: 129)
    ✓ Batch [ECAT]: 10 saved (Total: 139)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 154)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 165)
    ✓ Batch [NET]: 3 saved (Total: 168)
    ✓ Batch [ECAT]: 19 saved (Total: 187)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 205)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 213)
    ✓ Batch [NET]: 17 saved (Total: 230)
    ✓ Batch [ECAT]: 11 saved (Total: 241)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 253)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 263)
    ✓ Batch [NET]: 5 saved (Total: 268)
    ✓ Batch [ECAT]: 12 saved (Total: 280)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 293)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 301)

▶ STARTING: Chemistry -> Gases (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 77)
    ✓ Batch [NET]: 12 saved (Total: 89)
    ✓ Batch [ECAT]: 18 saved (Total: 107)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 125)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 137)
    ✓ Batch [NET]: 15 saved (Total: 152)
    ✓ Batch [ECAT]: 11 saved (Total: 163)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 176)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 192)
    ✓ Batch [NET]: 17 saved (Total: 209)
    ✓ Batch [ECAT]: 10 saved (Total: 219)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 234)
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 243)
    ✓ Batch [NET]: 8 saved (Total: 251)
    ✓ Batch [ECAT]: 8 saved (Total: 259)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 271)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 289)
    ✓ Batch [NET]: 8 saved (Total: 297)
    ✓ Batch [ECAT]: 11 saved (Total: 308)

▶ STARTING: Chemistry -> Liquids and Solids (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 78)
    ✓ Batch [NET]: 19 saved (Total: 97)
    ✓ Batch [ECAT]: 20 saved (Total: 117)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 137)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 156)
    ✓ Batch [NET]: 20 saved (Total: 176)
    ✓ Batch [ECAT]: 18 saved (Total: 194)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 213)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 231)
    ✓ Batch [NET]: 19 saved (Total: 250)
    ✓ Batch [ECAT]: 19 saved (Total: 269)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 288)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 304)

▶ STARTING: Chemistry -> Chemical Bonding (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 55)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 70)
    ✓ Batch [NET]: 12 saved (Total: 82)
    ✓ Batch [ECAT]: 13 saved (Total: 95)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 109)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 122)
    ✓ Batch [NET]: 9 saved (Total: 131)
    ✓ Batch [ECAT]: 8 saved (Total: 139)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 149)
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 158)
    ✓ Batch [NET]: 8 saved (Total: 166)
    ✓ Batch [ECAT]: 8 saved (Total: 174)
    ✓ Batch [GIKI_PIEAS]: 7 saved (Total: 181)
    ✓ Batch [LUMS_SAT]: 5 saved (Total: 186)
    ✓ Batch [NET]: 6 saved (Total: 192)
    ✓ Batch [ECAT]: 10 saved (Total: 202)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 219)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 238)
    ✓ Batch [NET]: 14 saved (Total: 252)
    ✓ Batch [ECAT]: 6 saved (Total: 258)
    ✓ Batch [GIKI_PIEAS]: 6 saved (Total: 264)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 275)
    ✓ Batch [NET]: 8 saved (Total: 283)
    ✓ Batch [ECAT]: 5 saved (Total: 288)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 300)

▶ STARTING: Chemistry -> Thermochemistry (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 54)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 73)
    ✓ Batch [NET]: 18 saved (Total: 91)
    ✓ Batch [ECAT]: 16 saved (Total: 107)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 122)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 142)
    ✓ Batch [NET]: 13 saved (Total: 155)
    ✓ Batch [ECAT]: 11 saved (Total: 166)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 182)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 199)
    ✓ Batch [NET]: 12 saved (Total: 211)
    ✓ Batch [ECAT]: 12 saved (Total: 223)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 239)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 255)
    ✓ Batch [NET]: 16 saved (Total: 271)
    ✓ Batch [ECAT]: 15 saved (Total: 286)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 301)

▶ STARTING: Chemistry -> Chemical Equilibrium (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 78)
    ✓ Batch [NET]: 18 saved (Total: 96)
    ✓ Batch [ECAT]: 20 saved (Total: 116)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 135)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 154)
    ✓ Batch [NET]: 19 saved (Total: 173)
    ✓ Batch [ECAT]: 20 saved (Total: 193)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 211)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 228)
    ✓ Batch [NET]: 20 saved (Total: 248)
    ✓ Batch [ECAT]: 17 saved (Total: 265)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 284)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 299)
    ✓ Batch [NET]: 20 saved (Total: 319)

▶ STARTING: Chemistry -> Solutions (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 77)
    ✓ Batch [NET]: 17 saved (Total: 94)
    ✓ Batch [ECAT]: 19 saved (Total: 113)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 132)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 149)
    ✓ Batch [NET]: 20 saved (Total: 169)
    ✓ Batch [ECAT]: 19 saved (Total: 188)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 205)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 222)
    ✓ Batch [NET]: 18 saved (Total: 240)
    ✓ Batch [ECAT]: 15 saved (Total: 255)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 270)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 285)
    ✓ Batch [NET]: 15 saved (Total: 300)

▶ STARTING: Chemistry -> Electrochemistry (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 78)
    ✓ Batch [NET]: 20 saved (Total: 98)
    ✓ Batch [ECAT]: 19 saved (Total: 117)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 134)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 154)
    ✓ Batch [NET]: 19 saved (Total: 173)
    ✓ Batch [ECAT]: 14 saved (Total: 187)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 205)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 222)
    ✓ Batch [NET]: 19 saved (Total: 241)
    ✓ Batch [ECAT]: 17 saved (Total: 258)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 277)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 294)
    ✓ Batch [NET]: 18 saved (Total: 312)

▶ STARTING: Chemistry -> Reaction Kinetics (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 76)
    ✓ Batch [NET]: 17 saved (Total: 93)
    ✓ Batch [ECAT]: 19 saved (Total: 112)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 127)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 143)
    ✓ Batch [NET]: 19 saved (Total: 162)
    ✓ Batch [ECAT]: 13 saved (Total: 175)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 193)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 209)
    ✓ Batch [NET]: 12 saved (Total: 221)
    ✓ Batch [ECAT]: 17 saved (Total: 238)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 252)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 268)
    ✓ Batch [NET]: 8 saved (Total: 276)
    ✓ Batch [ECAT]: 19 saved (Total: 295)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 312)

▶ STARTING: Chemistry -> S and P Block Elements (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 57)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 74)
    ✓ Batch [NET]: 20 saved (Total: 94)
    ✓ Batch [ECAT]: 20 saved (Total: 114)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 128)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 147)
    ✓ Batch [NET]: 15 saved (Total: 162)
    ✓ Batch [ECAT]: 11 saved (Total: 173)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 187)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 201)
    ✓ Batch [NET]: 12 saved (Total: 213)
    ✓ Batch [ECAT]: 16 saved (Total: 229)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 242)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 253)
    ✓ Batch [NET]: 15 saved (Total: 268)
    ✓ Batch [ECAT]: 8 saved (Total: 276)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 288)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 303)

▶ STARTING: Chemistry -> D and F Block Elements (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 57)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 72)
    ✓ Batch [NET]: 10 saved (Total: 82)
    ✓ Batch [ECAT]: 14 saved (Total: 96)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 113)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 125)
    ✓ Batch [NET]: 10 saved (Total: 135)
    ✓ Batch [ECAT]: 14 saved (Total: 149)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 161)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 174)
    ✓ Batch [NET]: 12 saved (Total: 186)
    ✓ Batch [ECAT]: 12 saved (Total: 198)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 210)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 218)
    ✓ Batch [NET]: 13 saved (Total: 231)
    ✓ Batch [ECAT]: 9 saved (Total: 240)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 252)
    ✓ Batch [LUMS_SAT]: 5 saved (Total: 257)
    ✓ Batch [NET]: 7 saved (Total: 264)
    ✓ Batch [ECAT]: 12 saved (Total: 276)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 284)
    ✓ Batch [LUMS_SAT]: 4 saved (Total: 288)
    ✓ Batch [NET]: 7 saved (Total: 295)
    ✓ Batch [ECAT]: 6 saved (Total: 301)

▶ STARTING: Chemistry -> Organic Chemistry Fundamentals (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 18 saved (Total: 38)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 55)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 74)
    ✓ Batch [NET]: 14 saved (Total: 88)
    ✓ Batch [ECAT]: 16 saved (Total: 104)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 115)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 135)
    ✓ Batch [NET]: 18 saved (Total: 153)
    ✓ Batch [ECAT]: 14 saved (Total: 167)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 184)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 199)
    ✓ Batch [NET]: 13 saved (Total: 212)
    ✓ Batch [ECAT]: 10 saved (Total: 222)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 237)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 250)
    ✓ Batch [NET]: 10 saved (Total: 260)
    ✓ Batch [ECAT]: 13 saved (Total: 273)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 285)
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 294)
    ✓ Batch [NET]: 12 saved (Total: 306)

▶ STARTING: Chemistry -> Hydrocarbons (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 79)
    ✓ Batch [NET]: 20 saved (Total: 99)
    ✓ Batch [ECAT]: 15 saved (Total: 114)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 126)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 145)
    ✓ Batch [NET]: 20 saved (Total: 165)
    ✓ Batch [ECAT]: 14 saved (Total: 179)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 195)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 211)
    ✓ Batch [NET]: 15 saved (Total: 226)
    ✓ Batch [ECAT]: 8 saved (Total: 234)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 244)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 259)
    ✓ Batch [NET]: 13 saved (Total: 272)
    ✓ Batch [ECAT]: 7 saved (Total: 279)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 288)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 301)

▶ STARTING: Chemistry -> Alkyl Halides (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 15 saved (Total: 35)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 51)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 70)
    ✓ Batch [NET]: 18 saved (Total: 88)
    ✓ Batch [ECAT]: 16 saved (Total: 104)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 120)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 135)
    ✓ Batch [NET]: 12 saved (Total: 147)
    ✓ Batch [ECAT]: 13 saved (Total: 160)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 178)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 195)
    ✓ Batch [NET]: 16 saved (Total: 211)
    ✓ Batch [ECAT]: 12 saved (Total: 223)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 239)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 254)
    ✓ Batch [NET]: 11 saved (Total: 265)
    ✓ Batch [ECAT]: 13 saved (Total: 278)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 290)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 303)

▶ STARTING: Chemistry -> Alcohols Phenols and Ethers (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 16 saved (Total: 36)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 55)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 74)
    ✓ Batch [NET]: 12 saved (Total: 86)
    ✓ Batch [ECAT]: 10 saved (Total: 96)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 109)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 121)
    ✓ Batch [NET]: 10 saved (Total: 131)
    ✓ Batch [ECAT]: 14 saved (Total: 145)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 163)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 179)
    ✓ Batch [NET]: 13 saved (Total: 192)
    ✓ Batch [ECAT]: 11 saved (Total: 203)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 218)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 230)
    ✓ Batch [NET]: 7 saved (Total: 237)
    ✓ Batch [ECAT]: 11 saved (Total: 248)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 262)
    ✓ Batch [LUMS_SAT]: 7 saved (Total: 269)
    ✓ Batch [NET]: 12 saved (Total: 281)
    ✓ Batch [ECAT]: 7 saved (Total: 288)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 304)

▶ STARTING: Chemistry -> Aldehydes and Ketones (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 77)
    ✓ Batch [NET]: 18 saved (Total: 95)
    ✓ Batch [ECAT]: 19 saved (Total: 114)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 129)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 145)
    ✓ Batch [NET]: 17 saved (Total: 162)
    ✓ Batch [ECAT]: 13 saved (Total: 175)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 188)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 207)
    ✓ Batch [NET]: 10 saved (Total: 217)
    ✓ Batch [ECAT]: 13 saved (Total: 230)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 250)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 262)
    ✓ Batch [NET]: 6 saved (Total: 268)
    ✓ Batch [ECAT]: 12 saved (Total: 280)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 294)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 312)

▶ STARTING: Chemistry -> Carboxylic Acids (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 77)
    ✓ Batch [NET]: 16 saved (Total: 93)
    ✓ Batch [ECAT]: 15 saved (Total: 108)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 120)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 135)
    ✓ Batch [NET]: 16 saved (Total: 151)
    ✓ Batch [ECAT]: 13 saved (Total: 164)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 178)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 195)
    ✓ Batch [NET]: 17 saved (Total: 212)
    ✓ Batch [ECAT]: 12 saved (Total: 224)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 239)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 247)
    ✓ Batch [NET]: 11 saved (Total: 258)
    ✓ Batch [ECAT]: 10 saved (Total: 268)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 282)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 295)
    ✓ Batch [NET]: 9 saved (Total: 304)

▶ STARTING: Chemistry -> Macromolecules (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 76)
    ✓ Batch [NET]: 14 saved (Total: 90)
    ✓ Batch [ECAT]: 20 saved (Total: 110)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 125)
    ✓ Batch [LUMS_SAT]: 7 saved (Total: 132)
    ✓ Batch [NET]: 15 saved (Total: 147)
    ✓ Batch [ECAT]: 19 saved (Total: 166)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 181)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 197)
    ✓ Batch [NET]: 13 saved (Total: 210)
    ✓ Batch [ECAT]: 17 saved (Total: 227)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 245)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 261)
    ✓ Batch [NET]: 12 saved (Total: 273)
    ✓ Batch [ECAT]: 19 saved (Total: 292)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 306)

▶ STARTING: Chemistry -> Environmental Chemistry (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 77)
    ✓ Batch [NET]: 15 saved (Total: 92)
    ✓ Batch [ECAT]: 19 saved (Total: 111)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 128)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 147)
    ✓ Batch [NET]: 12 saved (Total: 159)
    ✓ Batch [ECAT]: 13 saved (Total: 172)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 185)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 200)
    ✓ Batch [NET]: 16 saved (Total: 216)
    ✓ Batch [ECAT]: 14 saved (Total: 230)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 242)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 256)
    ✓ Batch [NET]: 13 saved (Total: 269)
    ✓ Batch [ECAT]: 12 saved (Total: 281)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 295)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 308)

▶ STARTING: Computer_Science -> Information Technology Basics (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 75)
    ✓ Batch [NET]: 11 saved (Total: 86)
    ✓ Batch [ECAT]: 15 saved (Total: 101)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 113)
    ✓ Batch [LUMS_SAT]: 7 saved (Total: 120)
    ✓ Batch [NET]: 5 saved (Total: 125)
    ✓ Batch [ECAT]: 14 saved (Total: 139)
    ✓ Batch [GIKI_PIEAS]: 7 saved (Total: 146)
    ✓ Batch [LUMS_SAT]: 7 saved (Total: 153)
    ✓ Batch [NET]: 8 saved (Total: 161)
    ✓ Batch [ECAT]: 12 saved (Total: 173)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 181)
    ✓ Batch [LUMS_SAT]: 4 saved (Total: 185)
    ✓ Batch [NET]: 5 saved (Total: 190)
    ✓ Batch [ECAT]: 12 saved (Total: 202)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 217)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 225)
    ✓ Batch [NET]: 4 saved (Total: 229)
    ✓ Batch [ECAT]: 5 saved (Total: 234)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 243)
    ✓ Batch [LUMS_SAT]: 4 saved (Total: 247)
    ✓ Batch [NET]: 12 saved (Total: 259)
    ✓ Batch [ECAT]: 9 saved (Total: 268)
    ✓ Batch [GIKI_PIEAS]: 3 saved (Total: 271)
    ✓ Batch [LUMS_SAT]: 5 saved (Total: 276)
    ✓ Batch [NET]: 6 saved (Total: 282)
    ✓ Batch [ECAT]: 6 saved (Total: 288)
    ✓ Batch [GIKI_PIEAS]: 1 saved (Total: 289)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 297)
    ✓ Batch [NET]: 5 saved (Total: 302)

▶ STARTING: Computer_Science -> Information Networks (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 75)
    ✓ Batch [NET]: 16 saved (Total: 91)
    ✓ Batch [ECAT]: 12 saved (Total: 103)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 121)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 135)
    ✓ Batch [NET]: 14 saved (Total: 149)
    ✓ Batch [ECAT]: 11 saved (Total: 160)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 173)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 183)
    ✓ Batch [NET]: 7 saved (Total: 190)
    ✓ Batch [ECAT]: 10 saved (Total: 200)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 211)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 225)
    ✓ Batch [NET]: 9 saved (Total: 234)
    ✓ Batch [ECAT]: 10 saved (Total: 244)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 259)
