Profile,Name,URL,About,Find companies,Description,Primary Industry,Size,Type,Location,Country,Domain
Valley Dermatology Associates,Valley Dermatology Associates,https://www.linkedin.com/company/valley-dermatology-associates,"Valley Dermatology is a well-established practice that has provided general and surgical dermatology care to the citizens of the Yakima Valley for over 20 years. When you or a loved one are in need of dermatology care, you can always count on Valley Dermatology. 

We continue to build on the legacy of long-standing, trust-based, relationships cultivated with our patients, while reaching out and participating in the care of newly acquired patients.

Working closely and cooperatively with the general and specialty practitioners in our area, that are relying on our team to provide the highest quality of Dermatology care, is essential.

We offer all the necessary equipment in-office, allowing you to take one convenient trip to our practice to receive your treatment. We have board-certified doctors who acquire the expertise in medical and surgical dermatology treatments for your skin needs.

We accept self-referrals at our office.",,"Valley Dermatology is a well-established practice that has provided general and surgical dermatology care to the citizens of the Yakima Valley for over 20 years. When you or a loved one are in need of dermatology care, you can always count on Valley Dermatology. 

We continue to build on the legacy of long-standing, trust-based, relationships cultivated with our patients, while reaching out and participating in the care of newly acquired patients.

Working closely and cooperatively with the general and specialty practitioners in our area, that are relying on our team to provide the highest quality of Dermatology care, is essential.

We offer all the necessary equipment in-office, allowing you to take one convenient trip to our practice to receive your treatment. We have board-certified doctors who acquire the expertise in medical and surgical dermatology treatments for your skin needs.

We accept self-referrals at our office.",Medical Practices,11-50 employees,Privately Held,"Yakima, Washington",United States,valleyderm.net
Bryn Mawr Skin & Cancer Institute,Bryn Mawr Skin & Cancer Institute,https://www.linkedin.com/company/bryn-mawr-skin-cancer-institute,"Our mission at Bryn Mawr Skin & Cancer Institute is to detect and treat skin cancers as early as possible. We treat all aspects of medical dermatology at our Philadelphia-area offices, as well as surgical and pediatric dermatology. Proudly serving Main Line patients and their families since 1968, we have the most experienced and credentialed team in the area.",,"Our mission at Bryn Mawr Skin & Cancer Institute is to detect and treat skin cancers as early as possible. We treat all aspects of medical dermatology at our Philadelphia-area offices, as well as surgical and pediatric dermatology. Proudly serving Main Line patients and their families since 1968, we have the most experienced and credentialed team in the area.",Medical Practices,11-50 employees,Privately Held,"Bryn Mawr, Pennsylvania",United States,cirilloinstitute.com
Nicolitz Eye Consultants,Nicolitz Eye Consultants,https://www.linkedin.com/company/nicolitz-eye-consultants,"Welcome to Nicolitz Eye Consultants. On behalf of our eye care specialists; our skilled and certified ophthalmic technicians; and our friendly and accommodating office staff and administrators, we are proud and honored that you have chosen us for your vision and eye care needs. And please don't let the size of our practice intimidate you. From your first visit, through whatever care you may need, our goal is to make you feel comfortable and special as we provide you with the best eye care in Northeast Florida.

Vision and eye care range from routine refractions for eyeglasses and contact lenses, to medical and surgical eye care for all disorders including dry eye, cataracts, glaucoma, macula degeneration. We also believe in treating your needs as a whole person by coordinating your eye care with your optometrist and your primary care physician.

Whatever your needs might be, we promise you immediate access (24/7); the highest quality care; and all of the latest, state-of-the-art diagnostic and treatment instruments and technologies (lasers, robotics, artificial intelligence). And yes, Nicolitz Eye Consultants may be a large practice, but our doctors and staff are committed to providing you with the most personalized and caring service.

Thank you for choosing Nicolitz Eye Consultants.",,"Welcome to Nicolitz Eye Consultants. On behalf of our eye care specialists; our skilled and certified ophthalmic technicians; and our friendly and accommodating office staff and administrators, we are proud and honored that you have chosen us for your vision and eye care needs. And please don't let the size of our practice intimidate you. From your first visit, through whatever care you may need, our goal is to make you feel comfortable and special as we provide you with the best eye care in Northeast Florida.

Vision and eye care range from routine refractions for eyeglasses and contact lenses, to medical and surgical eye care for all disorders including dry eye, cataracts, glaucoma, macula degeneration. We also believe in treating your needs as a whole person by coordinating your eye care with your optometrist and your primary care physician.

Whatever your needs might be, we promise you immediate access (24/7); the highest quality care; and all of the latest, state-of-the-art diagnostic and treatment instruments and technologies (lasers, robotics, artificial intelligence). And yes, Nicolitz Eye Consultants may be a large practice, but our doctors and staff are committed to providing you with the most personalized and caring service.

Thank you for choosing Nicolitz Eye Consultants.",Medical Practices,11-50 employees,Privately Held,"Jacksonville, Florida",United States,eyelitz.com
Jacksonville ENT Surgery,Jacksonville ENT Surgery,https://www.linkedin.com/company/jacksonville-ent,"Jacksonville ENT Surgery provides caring environments where you and your family will receive the latest in ENT treatments and surgery. When you visit one of our five convenient locations, our doctors will carefully listen to your description of symptoms and answer all of your questions regarding the latest ear, nose & throat surgery, plastic & reconstructive surgery as well as non-surgical options.

Once you've had a thorough ENT exam, our doctors can outline an individualized plan that includes the latest treatments and expert care. In addition to medical and surgical treatment of ear, nose and throat conditions, the doctors at Jacksonville ENT Surgery work closely with our patients who may be considering a procedure for facial plastic surgery or cosmetic surgery in conjunction with an ENT surgery.",,"Jacksonville ENT Surgery provides caring environments where you and your family will receive the latest in ENT treatments and surgery. When you visit one of our five convenient locations, our doctors will carefully listen to your description of symptoms and answer all of your questions regarding the latest ear, nose & throat surgery, plastic & reconstructive surgery as well as non-surgical options.

Once you've had a thorough ENT exam, our doctors can outline an individualized plan that includes the latest treatments and expert care. In addition to medical and surgical treatment of ear, nose and throat conditions, the doctors at Jacksonville ENT Surgery work closely with our patients who may be considering a procedure for facial plastic surgery or cosmetic surgery in conjunction with an ENT surgery.",Medical Practices,2-10 employees,Privately Held,"Jacksonville, FL",United States,jacksonvilleentsurgery.com
Montes Medical Group Inc,Montes Medical Group Inc,https://www.linkedin.com/company/montes-medical-group-inc,Montes Medical Group is a primary care medical practice focused on health maintenance and disease prevention for the whole family.,,Montes Medical Group is a primary care medical practice focused on health maintenance and disease prevention for the whole family.,Medical Practices,51-200 employees,Privately Held,"Whittier, CA",United States,montesmedical.com
BRAX Cosmetic Recovery,BRAX Cosmetic Recovery,https://www.linkedin.com/company/brax-cosmetic-recovery,Educating cosmetic surgery patients worldwide & providing first-class post-op massage in the GTA.,,Educating cosmetic surgery patients worldwide & providing first-class post-op massage in the GTA.,Medical Practices,11-50 employees,Privately Held,"Oakville, Ontario",Canada,braxcosmeticrecovery.ca
Float Oasis,Float Oasis,https://www.linkedin.com/company/float-oasis,"Imagine effortlessly floating in extremely salty, warm water. Float Oasis is the world's largest float center, combining state-of-the art technology, comfort and healing to create a sublime relaxation experience. Each of our 10 private float rooms offer dual rain shower heads, and a custom-built float room that is spacious and noise-proof. From our welcoming reception area to our comfortable post-float lounge, we've designed every detail to help you downshift from the stresses of daily life and embrace a moment to breathe at your Float Oasis. Come join us, and see what a little float can do for you!",,"Imagine effortlessly floating in extremely salty, warm water. Float Oasis is the world's largest float center, combining state-of-the art technology, comfort and healing to create a sublime relaxation experience. Each of our 10 private float rooms offer dual rain shower heads, and a custom-built float room that is spacious and noise-proof. From our welcoming reception area to our comfortable post-float lounge, we've designed every detail to help you downshift from the stresses of daily life and embrace a moment to breathe at your Float Oasis. Come join us, and see what a little float can do for you!",Wellness and Fitness Services,11-50 employees,Privately Held,"Brookfield, WI",United States,floatoasisspa.com
RestoreMD,RestoreMD,https://www.linkedin.com/company/restoremd,"RestoreMD is a FREE national network of board certified physicians who specialize in the practice of Age Management medicine, including bioidentical hormones and other evidence-based integrative therapies.  Through our website, RestoreMD helps patients find practitioners in their local area. 

Contact a local bioidentical hormone doctor and see whether bioidentical hormone therapy is right for you. RestoreMD is an exclusive national network of bioidentical hormone doctors who specialize in bioidentical hormone therapy and age-related illnesses. As such, they take a holistic approach to healthcare, focusing on the underlying cause of health problems to help prevent disease and improve a patient’s overall health.

Bioidentical hormone therapy has helped millions of people find relief from the symptoms of menopause, andropause, hypothyroidism, chronic fatigue and fibromyalgia and allowed them to take back control of their lives and wellbeing.

Contact an RestoreMD doctor and take the first step towards healthy aging.

As a member doctor, affiliation with RestoreMD provides access to a peer support network of like-minded practitioners, professional training, and helps doctors grow their practice by providing targeted local, regional, and national marketing services to educate the public about BHRT and acquire new patients.

Contact RestoreMD to join our growing network of Age Management practitioners.",,"RestoreMD is a FREE national network of board certified physicians who specialize in the practice of Age Management medicine, including bioidentical hormones and other evidence-based integrative therapies.  Through our website, RestoreMD helps patients find practitioners in their local area. 

Contact a local bioidentical hormone doctor and see whether bioidentical hormone therapy is right for you. RestoreMD is an exclusive national network of bioidentical hormone doctors who specialize in bioidentical hormone therapy and age-related illnesses. As such, they take a holistic approach to healthcare, focusing on the underlying cause of health problems to help prevent disease and improve a patient’s overall health.

Bioidentical hormone therapy has helped millions of people find relief from the symptoms of menopause, andropause, hypothyroidism, chronic fatigue and fibromyalgia and allowed them to take back control of their lives and wellbeing.

Contact an RestoreMD doctor and take the first step towards healthy aging.

As a member doctor, affiliation with RestoreMD provides access to a peer support network of like-minded practitioners, professional training, and helps doctors grow their practice by providing targeted local, regional, and national marketing services to educate the public about BHRT and acquire new patients.

Contact RestoreMD to join our growing network of Age Management practitioners.",Medical Practices,11-50 employees,Privately Held,"Madison, WI",United States,restoremd.com
CareMedica,CareMedica,https://www.linkedin.com/company/caremedica,"CareMEDICA is a premier medical institution serving Connecticut and South Florida since 2000. Recognized by esteemed groups like the Leading Physicians of the World (LPOTW), we are dedicated to providing superior healthcare services.

Our rich heritage is complemented by affiliations with Yale Medical School and Quinnipiac University, ensuring top-notch medical and professional pipelines. With a diverse team of physicians, specialists, and administrative professionals, we collaborate to extend reliable healthcare across Connecticut and Florida. 

Committed to diversity and equal opportunity, CareMEDICA advocates for fair employment practices. Explore opportunities with us and be part of our mission to make a true difference in healthcare.",,"CareMEDICA is a premier medical institution serving Connecticut and South Florida since 2000. Recognized by esteemed groups like the Leading Physicians of the World (LPOTW), we are dedicated to providing superior healthcare services.

Our rich heritage is complemented by affiliations with Yale Medical School and Quinnipiac University, ensuring top-notch medical and professional pipelines. With a diverse team of physicians, specialists, and administrative professionals, we collaborate to extend reliable healthcare across Connecticut and Florida. 

Committed to diversity and equal opportunity, CareMEDICA advocates for fair employment practices. Explore opportunities with us and be part of our mission to make a true difference in healthcare.",Medical Practices,11-50 employees,Privately Held,"North Haven, CT",United States,caremedica.com
Lakeview Dermatology,Lakeview Dermatology,https://www.linkedin.com/company/lakeview-dermatology,"Conveniently located in Chicago's Lakeview neighborhood and the northern and southwest suburbs, Lakeview Dermatology Chicago offers state-of-the art patient care in general, cosmetic dermatology treatments and surgical dermatology. Our patient-centered approach to care was started by Dr. Eugene Mandrea over 40 years ago and continues today.

Sir William Osler, the father of modern medicine, once said, ""Listen to the patient. He is telling you the diagnosis."" These words are still true today.
 
At Lakeview Dermatology, we know that listening means more than taking your medical history. Your viewpoint is an integral part of your treatment decision. We learn the context of your skin condition in order to consider its physical, physiological, and emotional impact on your life. When we make a diagnosis, we'll suggest your options for treatment in understandable terms. Whether medical, surgical, or cosmetic, we'll explain the concept of our therapeutic approach and why we're recommending it.
 
We also follow strict safety and sterilization guidelines and we comply with all HIPAA rules regarding patient confidentiality.
 
At Lakeview Dermatology, we're here to help you achieve better skin for a happier, healthier life.",,"Conveniently located in Chicago's Lakeview neighborhood and the northern and southwest suburbs, Lakeview Dermatology Chicago offers state-of-the art patient care in general, cosmetic dermatology treatments and surgical dermatology. Our patient-centered approach to care was started by Dr. Eugene Mandrea over 40 years ago and continues today.

Sir William Osler, the father of modern medicine, once said, ""Listen to the patient. He is telling you the diagnosis."" These words are still true today.
 
At Lakeview Dermatology, we know that listening means more than taking your medical history. Your viewpoint is an integral part of your treatment decision. We learn the context of your skin condition in order to consider its physical, physiological, and emotional impact on your life. When we make a diagnosis, we'll suggest your options for treatment in understandable terms. Whether medical, surgical, or cosmetic, we'll explain the concept of our therapeutic approach and why we're recommending it.
 
We also follow strict safety and sterilization guidelines and we comply with all HIPAA rules regarding patient confidentiality.
 
At Lakeview Dermatology, we're here to help you achieve better skin for a happier, healthier life.",Medical Practices,51-200 employees,Privately Held,"Chicago, IL",United States,lakeviewderm.com
BioRestore Health,BioRestore Health,https://www.linkedin.com/company/biorestore,"BioRestore Health is a unique health partner offering clients Hormonal Replacement Therapy, Medical Weight Loss, Regenerative Medicine, Nutrient IV Therapy, Pain Management and more.  Our knowledgable clinicians follow a guided process putting safety first providing the one-on-one support necessary to pinpoint what they need to feel healthier & younger so they can live their best life.",,"BioRestore Health is a trusted health and wellness partner based in Newtown, Connecticut, offering personalized care for individuals seeking to optimize their health, confidence, and quality of life.

Whether you are navigating hormone imbalance, weight management, age-related changes, or aesthetic concerns, our guided, physician-led approach prioritizes safety, clinical excellence, and overall well-being. We believe there is no one-size-fits-all solution to health and that meaningful results begin with understanding the individual.

Our expert clinical team provides one-on-one support to identify underlying factors that may be contributing to symptoms such as fatigue, weight gain, low motivation, or changes in performance. From comprehensive consultations to customized treatment plans, we partner closely with our patients throughout every stage of their wellness journey.

BioRestore Health offers a broad range of services, including:

• Hormone optimization for men and women
• Medical weight management
• Peptide and regenerative therapies
• Aesthetic treatments designed for natural, refined results

While aging is inevitable, how you manage its effects is within your control. At BioRestore Health, we empower our patients with personalized care and ongoing support to help them look, feel, and function at their best at any age.",Medical Practices,11-50 employees,Privately Held,"Newtown, Connecticut",United States,biorestorehealth.com
CellSound Aesthetics,CellSound Aesthetics,https://www.linkedin.com/company/cellsound-aesthetics,"CellSound, a new breakthrough technology, is the first facial & body contouring treatment that offers not only immediate results, but experienced users are calling 'pain-free' and 'enjoyable.' After just one treatment, clients report seeing smoother, tighter, more vibrant skin, and after a series of several treatments, they reach a new level of skin rejuvenation. Completely safe, with no side effects or downtime, CellSound treatments can be done as often as desired, enabling clinics to drastically increase not only their number of new clientele but the volume of repeat clients, who decide to make CellSound treatments a part of their ongoing beauty maintenance routine.",,"CellSound, a new breakthrough technology, is the first facial & body contouring treatment that offers not only immediate results, but experienced users are calling 'pain-free' and 'enjoyable.' After just one treatment, clients report seeing smoother, tighter, more vibrant skin, and after a series of several treatments, they reach a new level of skin rejuvenation. Completely safe, with no side effects or downtime, CellSound treatments can be done as often as desired, enabling clinics to drastically increase not only their number of new clientele but the volume of repeat clients, who decide to make CellSound treatments a part of their ongoing beauty maintenance routine.",Wellness and Fitness Services,11-50 employees,Privately Held,"Tustin, California",United States,cellsoundaesthetics.com
SJH Derm,SJH Derm,https://www.linkedin.com/company/dermatology-associates-of-lagrange,"SJH Derm is a collective group of physician-owned dermatology practices located in Illinois, focusing on medical, surgical, and cosmetic dermatology. The organization includes several practices, such as Dermatology Associates of La Grange, Dermatology Associates of Lombard, GoldinSkin Dermatology, and North Suburban Dermatology Associates.",,"We are a physician-driven & employee-owned group of community-based dermatology practices around the Chicagoland area. As the healthcare industry continues to evolve in a changing world, it is our mission to preserve the fundamentals of exceptional dermatological care through meaningful doctor-patient relationships; because we love our patients, and we love what we do.
 
SJH Derm was founded in 2019 by Dr. Shelley J. Halper, a board-certified dermatologist who has served the La Grange community since she opened her practice Dermatology Associates of La Grange, in 1991. 

Dr. Halper’s desire to collaborate and grow, while also continuing to provide the highest quality of care, posed quite a challenge. She watched as many of her friends and fellow colleagues sold their practices to private equity-backed groups and knew that she wanted something different for her private practice; something that would allow for an uninterrupted continuity of care for her patients, as well as job security for her esteemed colleagues and staff members.
 
As an employee-owned organization, we share the benefits of our hard work and dedication to our patients and our communities. We hope to inspire change for the betterment of the future of healthcare in order to get back to the real bottom line of what matters, patient health and care.",Medical Practices,51-200 employees,Privately Held,"La Grange, IL",United States,sjhdermatology.com
"Metro Dermatology of NY, P.C., Metro Dermatology of NJ, P.A.","Metro Dermatology of NY, P.C., Metro Dermatology of NJ, P.A.",https://www.linkedin.com/company/metro-dermatology,"Metro Dermatology of NY, P.C., Metro Dermatology of NJ, P.A. is a privately held healthcare company founded in 1995 and headquartered in Elmhurst, Queens, NY, USA. It provides dermatological services including general dermatology, pediatric dermatology, cutaneous surgery, photo-medicine, dermatopathology, skin laser surgery, and cosmetic dermatology; it has about 51–200 employees and reports revenue between $10M and $50M.",,"Our practice philosophy is to be caring, accessible, comprehensive, efficient and up to date providers of dermatological services to the people. Our priorities are ensuring patient safety and providing effective treatments.

We provide services in general dermatology, pediatric dermatology, cutaneous surgery, photo-medicine, dermatopathology, skin laser surgery, and cosmetic dermatology.

Our physicians have been trained at the top dermatology residency programs in the country. All our physicians are board certified by American Board of Dermatology. Two of our physicians are also board certified in dermatopathology. Our Physician Assistants are top graduates of most competitive PA programs in the country and have completed rigorous dermatology specific training before treating patients under the strict guidance of our board certified dermatologists.

We strive to be accessible to our patients by accepting most insurances. Our providers and staff speak multiple languages and are sensitive to cultural practices of our patients. We open early and have evening and weekend hours for patients’ convenience in clean and modern facilities.",Medical Practices,51-200 employees,Privately Held,"Elmhurst, NY",United States,metrodermatology.net
AVARI Medical,AVARI Medical,https://www.linkedin.com/company/avari-medical,"At AVARI, we pride ourselves on our customer service and bringing true innovation into the market. Let us show you how! 

Our diverse portfolio includes a range of best-in-class products that are  always backed by science. Our experienced team spans across Canada and we are always available to assist with any questions you have. Contact us or visit our Instagram @avarimedical to see what we're up to!",,"At AVARI, we pride ourselves on our customer service and bringing true innovation into the market. Let us show you how! 

Our diverse portfolio includes a range of best-in-class products that are  always backed by science. Our experienced team spans across Canada and we are always available to assist with any questions you have. Contact us or visit our Instagram @avarimedical to see what we're up to!",Wellness and Fitness Services,11-50 employees,Privately Held,"Vancouver, British Columbia",Canada,avarimedical.com
"New England Reconstructive & Aesthetic Surgery, PC","New England Reconstructive & Aesthetic Surgery, PC",https://www.linkedin.com/company/new-england-reconstructive-&-aesthetic-surgery-pc,"Dr. Rita Sadowski is an award-winning double- board certified plastic, reconstructive and aesthetic surgeon.",,"Dr. Rita Sadowski is an award-winning double- board certified plastic, reconstructive and aesthetic surgeon.",Medical Practices,11-50 employees,Privately Held,"Chestnut Hill , Massachusetts",United States,lookbetterfeelbetter.com
Sarah Stanowicz MD Inc.,Sarah Stanowicz MD Inc.,https://www.linkedin.com/company/sarah-stanowicz-md-inc,"Sarah Stanowicz MD Inc. is a medical practice company based out of 1506 E Chapman Ave., Orange, California, United States.",,"Sarah Stanowicz MD Inc. is a medical practice company based out of 1506 E Chapman Ave., Orange, California, United States.",Medical Practices,11-50 employees,Privately Held,"Orange, California",United States,ocderms.com
Advanced Dermatology & Skin Surgery,Advanced Dermatology & Skin Surgery,https://www.linkedin.com/company/advanced-dermatology-skin-surgery,"Advanced Dermatology & Skin Surgery, an affiliate of United Dermatology Partners, serves the Spokane and Inland Northwest community with state-of-the-art Medical Dermatology, Mohs Skin Cancer Surgery and Cosmetic Dermatology. 

Since our founding in 1996, our Dermatologists and Aestheticians have delighted in working at one of the Pacific Northwest’s premier dermatology practices, where best-in-class skills and excellence in patient care distinguish us a leader in our field. Our Skin Care Providers deliver a comprehensive scope of services across an expansive geographical area, while our cutting-edge technology and lasers give patients access to world-class dermatology treatments.

Our patients experience a genuinely human approach to healthcare – starting with their very first interaction. From administrative team members to Physicians and Aestheticians, we hire highly skilled, caring individuals who approach their work with pride and confidence. Every member of our team is intensely committed to building and growing patient relationships and partnering with them in their lifelong skin care journey.

Advanced Dermatology & Skin Surgery’s four established locations are situated among Washington and Idaho’s most desirable communities:

☞ Spokane Valley, Washington

☞ Spokane North, Washington

☞ Walla Walla , Washington

☞ Coeur d’Alene, Idaho 

In all its spectacular beauty and natural diversity, the Pacific Northwest is the perfect backdrop for an active outdoor lifestyle. We are always looking to hire talented, ambitious and compassionate dermatology professionals. From Board-Certified Dermatologists to Mohs Surgeons to Advanced Practitioners and support staff, we are interested in finding superior practitioners for our growing practice. Learn More @ https://www.advancederm.net/about/careers/",,"Advanced Dermatology & Skin Surgery, an affiliate of United Dermatology Partners, serves the Spokane and Inland Northwest community with state-of-the-art Medical Dermatology, Mohs Skin Cancer Surgery and Cosmetic Dermatology. 

Since our founding in 1996, our Dermatologists and Aestheticians have delighted in working at one of the Pacific Northwest’s premier dermatology practices, where best-in-class skills and excellence in patient care distinguish us a leader in our field. Our Skin Care Providers deliver a comprehensive scope of services across an expansive geographical area, while our cutting-edge technology and lasers give patients access to world-class dermatology treatments.

Our patients experience a genuinely human approach to healthcare – starting with their very first interaction. From administrative team members to Physicians and Aestheticians, we hire highly skilled, caring individuals who approach their work with pride and confidence. Every member of our team is intensely committed to building and growing patient relationships and partnering with them in their lifelong skin care journey.

Advanced Dermatology & Skin Surgery’s four established locations are situated among Washington and Idaho’s most desirable communities:

☞ Spokane Valley, Washington

☞ Spokane North, Washington

☞ Walla Walla , Washington

☞ Coeur d’Alene, Idaho 

In all its spectacular beauty and natural diversity, the Pacific Northwest is the perfect backdrop for an active outdoor lifestyle. We are always looking to hire talented, ambitious and compassionate dermatology professionals. From Board-Certified Dermatologists to Mohs Surgeons to Advanced Practitioners and support staff, we are interested in finding superior practitioners for our growing practice. Learn More @ https://www.advancederm.net/about/careers/",Medical Practices,51-200 employees,Privately Held,"Spokane Valley, WA",United States,advancederm.net
Rosenberg Plastic Surgery,Rosenberg Plastic Surgery,https://www.linkedin.com/company/rosenberg-plastic-surgery,"Welcome to Rosenberg Plastic Surgery, a place where classic beauty gracefully intertwines with a hint of vintage charm. We specialize in the art of enhancing the natural beauty of our patients, all while paying homage to the timeless allure of classic Hollywood glamour.

Dr. David Rosenberg, board certified Beverly Hills plastic surgeon and expert in cosmetic transformation, seamlessly combines the realms of art and science to guide our patients towards achieving their distinctive beauty goals with meticulous care and precision. Rosenberg Plastic Surgery is a growth-minded, inclusive, and forward-thinking company located on N Robertson Blvd in the Heart of Beverly Hills.",,"Welcome to Rosenberg Plastic Surgery, a place where classic beauty gracefully intertwines with a hint of vintage charm. We specialize in the art of enhancing the natural beauty of our patients, all while paying homage to the timeless allure of classic Hollywood glamour.

Dr. David Rosenberg, board certified Beverly Hills plastic surgeon and expert in cosmetic transformation, seamlessly combines the realms of art and science to guide our patients towards achieving their distinctive beauty goals with meticulous care and precision. Rosenberg Plastic Surgery is a growth-minded, inclusive, and forward-thinking company located on N Robertson Blvd in the Heart of Beverly Hills.",Medical Practices,11-50 employees,Privately Held,"Beverly Hills, California",United States,rosenbergplastics.com
Georgia Dermatology Partners,Georgia Dermatology Partners,https://www.linkedin.com/company/gwinnett-dermatology-pc,"Georgia Dermatology Partners, formerly known as Gwinnett Dermatology, is a premiere physician-owned practice with four locations in Brookhaven, Snellville, Loganville, and Braselton. In addition to full-service dermatologic treatments, the practice has a cosmetic and laser center offering the most innovative cutting-edge technology, a research center where clinical trials are conducted, a Mohs micrographic skin cancer surgery unit, and a dermatopathology laboratory. 
 
Each of our board-certified physicians brings unique expertise gaining regional and national recognition. All providers have an unwavering commitment to excellence in medical, surgical, and cosmetic dermatology. This dedication is shared equally by the practice’s team of nurse practitioners, physician assistants, and aesthetic professionals, who bring unparalleled levels of experience for the benefit of patients.

Our mission is to provide the highest standard and quality dermatologic care in a manner that makes our patients feel welcome, comfortable, and appreciated.",,"Georgia Dermatology Partners, formerly known as Gwinnett Dermatology, is a premiere physician-owned practice with four locations in Brookhaven, Snellville, Loganville, and Braselton. In addition to full-service dermatologic treatments, the practice has a cosmetic and laser center offering the most innovative cutting-edge technology, a research center where clinical trials are conducted, a Mohs micrographic skin cancer surgery unit, and a dermatopathology laboratory. 
 
Each of our board-certified physicians brings unique expertise gaining regional and national recognition. All providers have an unwavering commitment to excellence in medical, surgical, and cosmetic dermatology. This dedication is shared equally by the practice’s team of nurse practitioners, physician assistants, and aesthetic professionals, who bring unparalleled levels of experience for the benefit of patients.

Our mission is to provide the highest standard and quality dermatologic care in a manner that makes our patients feel welcome, comfortable, and appreciated.",Medical Practices,51-200 employees,Privately Held,"Snellville, Georgia",United States,georgiadermatologypartners.com
Lux DermatologyLV,Lux DermatologyLV,https://www.linkedin.com/company/desert-dermatology,"Lux Dermatology provides advanced medical treatment, diagnostic evaluations, and surgical techniques for all skin conditions. Lux Dermatology also offers a wide range of cosmetic products and treatments to rejuvenate and refresh every aspect of your skin's appearance. Our exceptional staff, trained and overseen by  Dr. Robert Leposavic M.D., is committed to achieving the results you expect and only Lux Dermatology can deliver. Whether you are looking for medical treatments, aesthetic treatments, or medical-grade skin care products; Lux Dermatology continues to be Las Vegas' oasis for all of your dermatological needs.

Monday: 9 am to 5 pm
Tuesday through Thursday: 8 am to 5 pm
Friday: 8 am to 2 pm
Saturday and Sunday : CLOSED",,"Lux Dermatology provides advanced medical treatment, diagnostic evaluations, and surgical techniques for all skin conditions. Lux Dermatology also offers a wide range of cosmetic products and treatments to rejuvenate and refresh every aspect of your skin's appearance. Our exceptional staff, trained and overseen by  Dr. Robert Leposavic M.D., is committed to achieving the results you expect and only Lux Dermatology can deliver. Whether you are looking for medical treatments, aesthetic treatments, or medical-grade skin care products; Lux Dermatology continues to be Las Vegas' oasis for all of your dermatological needs.

Monday: 9 am to 5 pm
Tuesday through Thursday: 8 am to 5 pm
Friday: 8 am to 2 pm
Saturday and Sunday : CLOSED",Medical Practices,11-50 employees,Privately Held,"Las Vegas, Nevada",United States,luxdermatologylv.com
Ocean Drive Plastic Surgery and MedSpa,Ocean Drive Plastic Surgery and MedSpa,https://www.linkedin.com/company/ocean-drive-plastic-surgery,"Ocean Drive Plastic Surgery is a full-service plastic surgery center and medical spa located in Vero Beach FL. We offer private surgical suites, laser hair removal, laser facials, and complete skin care solutions. The medical staff is lead by Alan Durkin, M.D., a Board Certified Plastic Surgeon, and Ferdinand Becker, M.D., a Board Certified Facial Plastic and Reconstructive Surgeon.",,"Ocean Drive Plastic Surgery is a full-service plastic surgery center and medical spa located in Vero Beach FL. We offer private surgical suites, laser hair removal, laser facials, and complete skin care solutions. The medical staff is lead by Alan Durkin, M.D., a Board Certified Plastic Surgeon, and Ferdinand Becker, M.D., a Board Certified Facial Plastic and Reconstructive Surgeon.",Medical Practices,11-50 employees,Privately Held,"Vero Beach, FL",United States,oceandriveplasticsurgery.com
North Texas Dermatology Now Lockhart Matter Dermatology,North Texas Dermatology Now Lockhart Matter Dermatology,https://www.linkedin.com/company/lockhartmatter-dermatology,"North Texas Dermatology was started in 2004  by Drs. Christie Matter and Susanne Lockhart.  We sold to USDP in 2017 and then reopened to private practice in 2021 under the name Lockhart Matter Dermatology.  We are a general, surgical and cosmetic clinic treating all ages of patients.",,"North Texas Dermatology was started in 2004  by Drs. Christie Matter and Susanne Lockhart.  We sold to USDP in 2017 and then reopened to private practice in 2021 under the name Lockhart Matter Dermatology.  We are a general, surgical and cosmetic clinic treating all ages of patients.",Medical Practices,11-50 employees,Privately Held,"Plano, Texas",United States,lockhartmatterdermatology.com
Versailles Medical Spa,Versailles Medical Spa,https://www.linkedin.com/company/versailles-medical-spa-ct,"Your destination for state-of-the-art medical aesthetic services. At Versailles, we pride ourselves on providing an exemplary patient experience and work diligently to help you reach your aesthetic goals. By combining advanced technologies, experienced professionals, and a first-class facility, our team achieves fantastic outcomes and incurs long-term patients. Our primary goal is to ensure you leave Versailles Medical Spa smiling and return with strong confidence in our team and our mission. We invite you to learn more about our philosophy and services. We look forward to serving you.",,"Your destination for state-of-the-art medical aesthetic services. At Versailles, we pride ourselves on providing an exemplary patient experience and work diligently to help you reach your aesthetic goals. By combining advanced technologies, experienced professionals, and a first-class facility, our team achieves fantastic outcomes and incurs long-term patients. Our primary goal is to ensure you leave Versailles Medical Spa smiling and return with strong confidence in our team and our mission. We invite you to learn more about our philosophy and services. We look forward to serving you.",Medical Practices,11-50 employees,Privately Held,"Darien, CT",United States,versaillesmedicalspa.com
